Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.056,0.015,0.541,0.451,0.042,0.009,0.841,0.935,0.022
0.169,0.065,0.180,0.062,0.152,0.167,0.877,0.837,0.083
0.103,0.027,0.035,0.359,0.143,0.155,0.810,0.770,0.061
0.129,0.031,0.883,0.747,0.110,0.055,0.879,0.947,0.064
0.880,0.633,0.102,0.041,0.919,0.842,0.422,0.799,0.709
0.231,0.010,0.080,0.538,0.302,0.202,0.674,0.686,0.094
0.006,0.098,0.019,0.005,0.003,0.003,0.705,0.879,0.005
0.013,0.935,0.330,0.177,0.004,0.009,0.494,0.935,0.009
0.076,0.004,0.719,0.067,0.072,0.163,0.980,0.962,0.050
0.746,0.352,0.026,0.007,0.798,0.638,0.716,0.872,0.343
0.313,0.999,0.853,0.783,0.117,0.408,0.155,0.499,0.497
0.145,0.029,0.905,0.933,0.107,0.149,0.830,0.828,0.088
0.246,0.070,0.802,0.743,0.234,0.149,0.737,0.791,0.184
0.350,0.039,0.828,0.699,0.374,0.260,0.788,0.888,0.324
0.886,0.342,0.075,0.083,0.919,0.894,0.515,0.642,0.615
0.764,0.008,0.637,0.425,0.867,0.854,0.940,0.916,0.592
0.087,0.241,0.042,0.012,0.056,0.079,0.557,0.566,0.049
0.345,0.109,0.613,0.164,0.293,0.178,0.879,0.851,0.180
0.963,0.074,0.064,0.076,0.988,0.995,0.915,0.955,0.885
0.688,0.387,0.040,0.054,0.661,0.496,0.265,0.573,0.237
0.867,0.018,0.130,0.968,0.967,0.983,0.759,0.767,0.615
0.032,0.063,0.015,0.005,0.020,0.016,0.651,0.651,0.014
0.255,0.167,0.611,0.170,0.270,0.123,0.938,0.963,0.116
0.167,0.260,0.004,0.000,0.126,0.185,0.580,0.640,0.058
0.167,0.260,0.004,0.000,0.126,0.185,0.580,0.640,0.058
0.311,0.047,0.845,0.444,0.302,0.179,0.911,0.889,0.215
0.328,0.249,0.059,0.181,0.330,0.307,0.330,0.422,0.118
0.461,0.049,0.904,0.783,0.503,0.431,0.830,0.892,0.369
0.970,0.007,0.038,0.971,0.997,0.999,0.850,0.887,0.851
0.837,0.015,0.389,0.949,0.957,0.984,0.696,0.829,0.654
0.633,0.099,0.264,0.356,0.684,0.635,0.637,0.730,0.349
0.725,0.018,0.049,0.901,0.911,0.977,0.773,0.604,0.470
0.104,0.013,0.631,0.592,0.091,0.050,0.820,0.919,0.070
0.340,0.014,0.949,0.922,0.450,0.385,0.877,0.887,0.388
0.986,0.015,0.270,0.399,0.996,0.998,0.817,0.882,0.930
0.758,0.044,0.005,0.006,0.807,0.719,0.679,0.621,0.210
0.758,0.044,0.005,0.006,0.807,0.719,0.679,0.621,0.210
0.023,0.516,0.004,0.000,0.013,0.015,0.732,0.708,0.008
0.086,0.044,0.047,0.042,0.071,0.042,0.675,0.720,0.045
0.351,0.063,0.823,0.465,0.329,0.263,0.875,0.841,0.259
0.204,0.007,0.514,0.745,0.219,0.155,0.618,0.723,0.102
0.557,0.197,0.571,0.269,0.522,0.466,0.736,0.769,0.376
0.926,0.030,0.698,0.990,0.971,0.981,0.630,0.432,0.830
0.041,0.006,0.797,0.177,0.035,0.062,0.971,0.952,0.033
0.966,0.005,0.013,0.066,0.994,0.996,0.835,0.733,0.802
0.316,0.794,0.177,0.150,0.346,0.280,0.745,0.969,0.204
0.329,0.016,0.303,0.966,0.483,0.578,0.553,0.578,0.173
0.219,0.021,0.780,0.408,0.241,0.225,0.940,0.908,0.143
0.384,0.142,0.011,0.008,0.363,0.373,0.508,0.524,0.157
0.328,0.273,0.010,0.002,0.302,0.344,0.494,0.429,0.130
0.328,0.273,0.010,0.002,0.302,0.344,0.494,0.429,0.130
0.412,0.130,0.016,0.010,0.374,0.440,0.420,0.290,0.173
0.328,0.273,0.010,0.002,0.302,0.344,0.494,0.429,0.130
0.504,0.118,0.097,0.032,0.496,0.240,0.763,0.610,0.199
0.051,0.040,0.022,0.027,0.050,0.035,0.757,0.693,0.018
0.005,0.026,0.009,0.003,0.003,0.003,0.851,0.906,0.002
0.014,0.105,0.348,0.455,0.007,0.004,0.526,0.613,0.010
0.014,0.105,0.348,0.455,0.007,0.004,0.526,0.613,0.010
0.579,0.103,0.540,0.165,0.562,0.464,0.846,0.834,0.359
0.579,0.103,0.540,0.165,0.562,0.464,0.846,0.834,0.359
0.579,0.103,0.540,0.165,0.562,0.464,0.846,0.834,0.359
0.082,0.013,0.250,0.607,0.069,0.093,0.559,0.511,0.048
0.218,0.002,0.048,0.551,0.509,0.781,0.938,0.889,0.096
0.945,0.151,0.055,0.014,0.969,0.974,0.834,0.875,0.818
0.198,0.028,0.808,0.932,0.224,0.154,0.728,0.728,0.149
0.340,0.017,0.077,0.166,0.488,0.656,0.829,0.862,0.163
0.035,0.125,0.072,0.043,0.022,0.014,0.694,0.788,0.018
0.339,0.078,0.708,0.752,0.320,0.344,0.699,0.754,0.237
0.275,0.029,0.906,0.810,0.256,0.327,0.827,0.833,0.246
0.295,0.012,0.417,0.705,0.373,0.398,0.725,0.773,0.154
0.037,0.216,0.062,0.005,0.021,0.012,0.801,0.893,0.015
0.039,0.716,0.008,0.000,0.020,0.016,0.737,0.661,0.013
0.735,0.121,0.007,0.009,0.764,0.697,0.341,0.274,0.309
0.963,0.007,0.047,0.173,0.992,0.998,0.872,0.861,0.845
0.939,0.082,0.017,0.017,0.965,0.970,0.534,0.525,0.702
0.427,0.132,0.649,0.334,0.371,0.308,0.811,0.804,0.265
0.090,0.052,0.192,0.414,0.076,0.066,0.673,0.592,0.044
0.595,0.016,0.077,0.037,0.714,0.749,0.820,0.805,0.247
0.599,0.021,0.906,0.886,0.702,0.725,0.832,0.872,0.572
0.312,0.036,0.882,0.549,0.323,0.217,0.922,0.896,0.235
0.901,0.003,0.043,0.664,0.982,0.980,0.767,0.741,0.685
0.004,0.907,0.069,0.004,0.002,0.002,0.485,0.920,0.006
0.407,0.013,0.356,0.502,0.545,0.500,0.896,0.876,0.247
0.106,0.034,0.736,0.719,0.091,0.067,0.765,0.697,0.081
0.392,0.064,0.853,0.741,0.378,0.345,0.748,0.819,0.327
0.568,0.361,0.021,0.002,0.511,0.334,0.634,0.277,0.217
0.116,0.036,0.860,0.525,0.109,0.063,0.947,0.931,0.049
0.116,0.036,0.860,0.525,0.109,0.063,0.947,0.931,0.049
0.800,0.056,0.120,0.072,0.869,0.843,0.806,0.807,0.575
0.100,0.036,0.845,0.605,0.084,0.025,0.880,0.953,0.049
0.426,0.029,0.293,0.202,0.485,0.423,0.815,0.840,0.238
0.321,0.025,0.733,0.363,0.328,0.197,0.922,0.900,0.163
0.360,0.091,0.193,0.078,0.375,0.276,0.825,0.708,0.158
0.258,0.005,0.983,0.972,0.367,0.331,0.950,0.966,0.230
0.432,0.090,0.758,0.544,0.426,0.351,0.772,0.830,0.304
0.951,0.007,0.118,0.924,0.992,0.993,0.864,0.879,0.816
0.819,0.078,0.095,0.030,0.882,0.893,0.853,0.892,0.601
0.640,0.005,0.111,0.977,0.871,0.942,0.832,0.788,0.364
0.457,0.014,0.201,0.034,0.533,0.399,0.907,0.756,0.199
0.435,0.004,0.730,0.774,0.552,0.523,0.873,0.917,0.272
0.014,0.045,0.729,0.191,0.010,0.003,0.945,0.985,0.005
0.014,0.045,0.729,0.191,0.010,0.003,0.945,0.985,0.005
0.197,0.083,0.723,0.676,0.161,0.092,0.695,0.823,0.127
0.319,0.004,0.850,0.416,0.393,0.516,0.959,0.939,0.245
0.356,0.043,0.854,0.661,0.253,0.427,0.831,0.868,0.194
0.958,0.098,0.053,0.010,0.979,0.983,0.859,0.879,0.876
0.945,0.053,0.037,0.013,0.972,0.980,0.851,0.839,0.805
0.512,0.065,0.195,0.101,0.625,0.728,0.847,0.775,0.296
0.936,0.572,0.664,0.788,0.969,0.944,0.931,0.991,0.796
0.913,0.001,0.005,0.435,0.992,0.996,0.963,0.905,0.698
0.291,0.027,0.659,0.625,0.314,0.202,0.838,0.842,0.170
0.034,0.025,0.140,0.154,0.026,0.005,0.744,0.860,0.016
0.081,0.180,0.015,0.028,0.064,0.116,0.507,0.610,0.043
0.267,0.124,0.277,0.100,0.239,0.208,0.819,0.770,0.096
0.427,0.025,0.044,0.176,0.568,0.706,0.860,0.727,0.220
0.642,0.020,0.202,0.247,0.753,0.822,0.835,0.895,0.368
0.728,0.057,0.700,0.749,0.799,0.715,0.711,0.854,0.580
0.418,0.121,0.178,0.118,0.386,0.131,0.560,0.773,0.243
0.712,0.017,0.538,0.631,0.838,0.840,0.882,0.900,0.500
0.945,0.006,0.027,0.637,0.991,0.997,0.903,0.841,0.788
0.303,0.009,0.788,0.538,0.305,0.149,0.872,0.891,0.161
0.982,0.006,0.245,0.334,0.996,0.998,0.845,0.893,0.947
0.492,0.156,0.035,0.004,0.452,0.325,0.715,0.479,0.153
0.492,0.156,0.035,0.004,0.452,0.325,0.715,0.479,0.153
0.645,0.483,0.059,0.047,0.731,0.706,0.897,0.979,0.269
0.411,0.107,0.481,0.211,0.376,0.217,0.756,0.741,0.227
0.896,0.056,0.042,0.031,0.951,0.963,0.796,0.796,0.741
0.896,0.056,0.042,0.031,0.951,0.963,0.796,0.796,0.741
0.896,0.056,0.042,0.031,0.951,0.963,0.796,0.796,0.741
0.583,0.082,0.795,0.650,0.581,0.684,0.819,0.843,0.375
0.337,0.004,0.972,0.955,0.404,0.299,0.930,0.964,0.247
0.848,0.008,0.498,0.732,0.916,0.940,0.863,0.767,0.559
0.813,0.023,0.563,0.958,0.935,0.966,0.616,0.776,0.650
0.551,0.040,0.637,0.475,0.620,0.457,0.832,0.838,0.381
0.536,0.091,0.661,0.498,0.513,0.534,0.794,0.826,0.318
0.301,0.088,0.598,0.835,0.289,0.463,0.645,0.646,0.200
0.249,0.054,0.857,0.726,0.280,0.137,0.881,0.899,0.177
0.743,0.057,0.048,0.009,0.838,0.727,0.831,0.922,0.360
0.933,0.038,0.021,0.024,0.972,0.975,0.663,0.555,0.730
0.729,0.016,0.067,0.018,0.791,0.601,0.904,0.799,0.236
0.625,0.129,0.057,0.022,0.623,0.539,0.497,0.403,0.260
0.739,0.073,0.864,0.572,0.789,0.743,0.781,0.835,0.719
0.978,0.005,0.360,0.662,0.995,0.997,0.796,0.844,0.938
0.984,0.004,0.014,0.039,0.997,0.998,0.840,0.818,0.890
0.043,0.030,0.382,0.143,0.034,0.011,0.895,0.939,0.020
0.217,0.013,0.780,0.628,0.167,0.158,0.832,0.829,0.097
0.400,0.037,0.900,0.757,0.428,0.427,0.881,0.876,0.356
0.909,0.005,0.145,0.101,0.965,0.965,0.931,0.952,0.596
0.107,0.249,0.094,0.078,0.075,0.037,0.278,0.468,0.063
0.088,0.036,0.157,0.232,0.080,0.022,0.566,0.593,0.036
0.785,0.006,0.352,0.838,0.923,0.965,0.891,0.889,0.503
0.017,0.061,0.072,0.025,0.012,0.008,0.743,0.692,0.008
0.097,0.014,0.606,0.593,0.075,0.046,0.777,0.831,0.053
0.148,0.053,0.179,0.215,0.135,0.044,0.558,0.554,0.068
0.159,0.020,0.742,0.690,0.169,0.108,0.805,0.862,0.113
0.780,0.003,0.009,0.010,0.921,0.961,0.927,0.876,0.446
0.012,0.140,0.551,0.069,0.008,0.004,0.916,0.974,0.006
0.719,0.009,0.005,0.025,0.871,0.898,0.777,0.671,0.312
0.189,0.022,0.746,0.678,0.178,0.098,0.787,0.836,0.108
0.189,0.022,0.746,0.678,0.178,0.098,0.787,0.836,0.108
0.302,0.021,0.827,0.389,0.315,0.189,0.945,0.900,0.192
0.947,0.005,0.061,0.867,0.992,0.997,0.910,0.901,0.798
0.023,0.044,0.024,0.023,0.016,0.035,0.799,0.692,0.014
0.804,0.050,0.011,0.009,0.853,0.678,0.729,0.776,0.226
0.970,0.003,0.054,0.802,0.996,0.998,0.932,0.914,0.858
0.156,0.010,0.750,0.946,0.152,0.169,0.785,0.742,0.121
0.241,0.960,0.106,0.017,0.191,0.110,0.118,0.519,0.245
0.340,0.139,0.039,0.211,0.388,0.450,0.545,0.718,0.176
0.340,0.139,0.039,0.211,0.388,0.450,0.545,0.718,0.176
0.686,0.391,0.699,0.256,0.704,0.684,0.641,0.784,0.641
0.686,0.391,0.699,0.256,0.704,0.684,0.641,0.784,0.641
0.424,0.003,0.949,0.915,0.549,0.499,0.935,0.936,0.315
0.081,0.362,0.072,0.020,0.050,0.030,0.529,0.559,0.048
0.270,0.028,0.859,0.586,0.295,0.227,0.913,0.855,0.218
0.737,0.020,0.507,0.312,0.812,0.825,0.849,0.837,0.624
0.793,0.043,0.450,0.201,0.852,0.867,0.829,0.767,0.683
0.055,0.030,0.777,0.574,0.043,0.019,0.900,0.958,0.023
0.857,0.021,0.153,0.201,0.933,0.933,0.905,0.915,0.578
0.416,0.116,0.795,0.652,0.392,0.338,0.748,0.803,0.324
0.212,0.070,0.249,0.209,0.232,0.102,0.846,0.895,0.115
0.292,0.069,0.759,0.666,0.277,0.200,0.715,0.782,0.224
0.034,0.019,0.304,0.189,0.027,0.006,0.867,0.962,0.015
0.582,0.038,0.107,0.016,0.592,0.434,0.875,0.763,0.211
0.449,0.054,0.873,0.808,0.471,0.415,0.773,0.865,0.398
0.035,0.089,0.076,0.088,0.030,0.013,0.714,0.727,0.018
0.030,0.103,0.473,0.807,0.020,0.013,0.499,0.652,0.020
0.166,0.026,0.019,0.015,0.140,0.171,0.739,0.572,0.062
0.842,0.034,0.648,0.469,0.908,0.888,0.845,0.918,0.661
0.376,0.010,0.343,0.096,0.417,0.363,0.953,0.918,0.162
0.082,0.084,0.876,0.762,0.075,0.018,0.831,0.900,0.054
0.619,0.084,0.232,0.061,0.634,0.500,0.807,0.768,0.318
0.619,0.084,0.232,0.061,0.634,0.500,0.807,0.768,0.318
0.036,0.052,0.744,0.803,0.029,0.011,0.791,0.859,0.022
0.900,0.021,0.100,0.483,0.965,0.985,0.811,0.820,0.695
0.804,0.014,0.253,0.225,0.894,0.859,0.895,0.940,0.466
0.006,0.042,0.009,0.002,0.004,0.004,0.859,0.924,0.004
0.757,0.028,0.378,0.707,0.857,0.904,0.741,0.763,0.455
0.091,0.012,0.569,0.174,0.090,0.065,0.959,0.924,0.044
0.512,0.004,0.224,0.939,0.728,0.803,0.759,0.795,0.263
0.077,0.255,0.063,0.004,0.057,0.026,0.757,0.917,0.031
0.840,0.028,0.534,0.912,0.938,0.955,0.732,0.787,0.727
0.521,0.031,0.025,0.545,0.732,0.878,0.798,0.688,0.311
0.506,0.114,0.523,0.806,0.528,0.661,0.652,0.627,0.326
0.036,0.174,0.028,0.013,0.031,0.071,0.889,0.974,0.021
0.078,0.093,0.662,0.386,0.068,0.022,0.892,0.965,0.043
0.176,0.118,0.019,0.036,0.153,0.198,0.404,0.363,0.074
0.125,0.014,0.867,0.775,0.093,0.107,0.822,0.849,0.067
0.859,0.008,0.060,0.157,0.941,0.956,0.847,0.783,0.456
0.599,0.201,0.029,0.046,0.583,0.438,0.366,0.597,0.184
0.424,0.081,0.017,0.031,0.443,0.601,0.556,0.440,0.176
0.587,0.021,0.299,0.246,0.661,0.721,0.866,0.896,0.327
0.392,0.024,0.733,0.504,0.463,0.399,0.903,0.856,0.252
0.019,0.117,0.081,0.039,0.014,0.011,0.781,0.870,0.013
0.654,0.041,0.953,0.822,0.668,0.650,0.833,0.915,0.531
0.805,0.001,0.018,0.943,0.965,0.980,0.800,0.784,0.503
0.077,0.085,0.490,0.410,0.047,0.029,0.547,0.452,0.035
0.438,0.017,0.704,0.698,0.508,0.439,0.849,0.842,0.303
0.762,0.009,0.096,0.593,0.904,0.939,0.698,0.710,0.548
0.057,0.102,0.148,0.135,0.034,0.020,0.385,0.332,0.024
0.057,0.102,0.148,0.135,0.034,0.020,0.385,0.332,0.024
0.885,0.271,0.019,0.008,0.912,0.815,0.401,0.456,0.651
0.885,0.271,0.019,0.008,0.912,0.815,0.401,0.456,0.651
0.885,0.271,0.019,0.008,0.912,0.815,0.401,0.456,0.651
0.911,0.021,0.348,0.216,0.957,0.941,0.872,0.883,0.820
0.599,0.215,0.064,0.030,0.575,0.341,0.443,0.284,0.264
0.293,0.071,0.078,0.010,0.244,0.130,0.835,0.655,0.080
0.310,0.099,0.447,0.333,0.335,0.178,0.719,0.716,0.221
0.936,0.067,0.375,0.691,0.975,0.981,0.666,0.808,0.848
0.060,0.005,0.491,0.376,0.048,0.018,0.907,0.949,0.024
0.270,0.146,0.078,0.035,0.231,0.123,0.646,0.673,0.121
0.103,0.238,0.185,0.246,0.087,0.081,0.513,0.738,0.065
0.103,0.238,0.185,0.246,0.087,0.081,0.513,0.738,0.065
0.287,0.029,0.942,0.877,0.218,0.303,0.901,0.912,0.182
0.006,0.948,0.186,0.150,0.002,0.004,0.287,0.860,0.005
0.554,0.134,0.025,0.005,0.534,0.332,0.721,0.555,0.187
0.030,0.060,0.090,0.043,0.019,0.007,0.681,0.681,0.014
0.913,0.038,0.769,0.757,0.957,0.958,0.765,0.862,0.826
0.277,0.036,0.726,0.413,0.265,0.255,0.920,0.924,0.136
0.924,0.005,0.712,0.697,0.974,0.964,0.883,0.941,0.860
0.924,0.005,0.712,0.697,0.974,0.964,0.883,0.941,0.860
0.961,0.002,0.006,0.009,0.991,0.996,0.931,0.869,0.723
0.187,0.085,0.039,0.011,0.150,0.127,0.638,0.447,0.065
0.022,0.023,0.077,0.024,0.016,0.005,0.894,0.947,0.007
0.731,0.109,0.006,0.012,0.802,0.704,0.359,0.416,0.215
0.711,0.019,0.817,0.892,0.814,0.908,0.786,0.723,0.646
0.381,0.121,0.169,0.308,0.389,0.184,0.206,0.271,0.231
0.381,0.121,0.169,0.308,0.389,0.184,0.206,0.271,0.231
0.381,0.121,0.169,0.308,0.389,0.184,0.206,0.271,0.231
0.121,0.092,0.242,0.159,0.101,0.084,0.793,0.731,0.063
0.035,0.018,0.100,0.086,0.027,0.033,0.824,0.704,0.018
0.482,0.075,0.015,0.016,0.515,0.597,0.438,0.310,0.206
0.090,0.124,0.027,0.006,0.067,0.041,0.630,0.442,0.037
0.316,0.073,0.015,0.009,0.315,0.368,0.468,0.313,0.118
0.956,0.031,0.154,0.920,0.989,0.993,0.672,0.763,0.821
0.008,0.972,0.159,0.041,0.003,0.004,0.262,0.910,0.010
0.050,0.010,0.178,0.612,0.065,0.120,0.854,0.826,0.029
0.144,0.020,0.599,0.856,0.136,0.135,0.714,0.675,0.103
0.011,0.020,0.007,0.001,0.006,0.005,0.889,0.919,0.003
0.868,0.017,0.202,0.591,0.951,0.971,0.835,0.855,0.618
0.723,0.286,0.102,0.082,0.773,0.650,0.622,0.509,0.504
0.723,0.286,0.102,0.082,0.773,0.650,0.622,0.509,0.504
0.945,0.007,0.056,0.885,0.991,0.994,0.823,0.821,0.753
0.789,0.092,0.006,0.006,0.879,0.791,0.606,0.634,0.333
0.892,0.698,0.092,0.061,0.921,0.794,0.360,0.792,0.664
0.955,0.003,0.023,0.958,0.995,0.998,0.872,0.836,0.818
0.105,0.078,0.906,0.749,0.092,0.032,0.862,0.922,0.067
0.444,0.144,0.727,0.613,0.409,0.369,0.702,0.771,0.330
0.365,0.023,0.863,0.713,0.391,0.288,0.830,0.872,0.264
0.919,0.029,0.597,0.443,0.956,0.963,0.848,0.907,0.777
0.917,0.008,0.084,0.948,0.987,0.990,0.796,0.794,0.723
0.061,0.012,0.507,0.323,0.042,0.030,0.858,0.859,0.027
0.400,0.096,0.815,0.614,0.389,0.345,0.792,0.854,0.331
0.319,0.009,0.773,0.885,0.385,0.346,0.795,0.830,0.209
0.012,0.056,0.118,0.091,0.006,0.002,0.450,0.427,0.006
0.035,0.490,0.353,0.115,0.024,0.012,0.673,0.944,0.015
0.174,0.116,0.796,0.556,0.139,0.055,0.823,0.866,0.100
0.174,0.116,0.796,0.556,0.139,0.055,0.823,0.866,0.100
0.432,0.012,0.628,0.922,0.586,0.648,0.859,0.937,0.269
0.027,0.166,0.102,0.148,0.019,0.019,0.572,0.642,0.019
0.210,0.060,0.686,0.610,0.190,0.219,0.792,0.859,0.096
0.858,0.006,0.369,0.851,0.948,0.965,0.803,0.822,0.701
0.888,0.002,0.028,0.155,0.957,0.982,0.755,0.574,0.653
0.888,0.002,0.028,0.155,0.957,0.982,0.755,0.574,0.653
0.022,0.850,0.468,0.195,0.012,0.016,0.851,0.986,0.018
0.812,0.050,0.094,0.125,0.880,0.940,0.763,0.688,0.571
0.137,0.241,0.005,0.001,0.115,0.126,0.598,0.624,0.046
0.017,0.558,0.015,0.003,0.011,0.013,0.700,0.969,0.006
0.622,0.045,0.411,0.644,0.736,0.751,0.755,0.749,0.434
0.974,0.006,0.005,0.008,0.994,0.997,0.848,0.736,0.821
0.956,0.006,0.044,0.850,0.993,0.995,0.802,0.786,0.771
0.542,0.055,0.495,0.651,0.592,0.673,0.775,0.798,0.329
0.168,0.614,0.585,0.223,0.147,0.043,0.540,0.786,0.118
0.683,0.013,0.522,0.265,0.794,0.660,0.937,0.925,0.433
0.252,0.076,0.459,0.112,0.229,0.162,0.899,0.899,0.079
0.025,0.245,0.604,0.152,0.014,0.009,0.850,0.937,0.008
0.955,0.024,0.414,0.684,0.983,0.988,0.640,0.771,0.856
0.955,0.024,0.414,0.684,0.983,0.988,0.640,0.771,0.856
0.014,0.104,0.056,0.174,0.010,0.012,0.585,0.683,0.010
0.772,0.286,0.027,0.041,0.788,0.607,0.466,0.583,0.283
0.449,0.083,0.153,0.848,0.583,0.733,0.762,0.718,0.256
0.524,0.067,0.889,0.730,0.552,0.481,0.738,0.745,0.548
0.756,0.019,0.190,0.881,0.915,0.912,0.715,0.790,0.608
0.770,0.019,0.704,0.344,0.786,0.793,0.873,0.889,0.488
0.226,0.085,0.243,0.349,0.212,0.225,0.680,0.752,0.112
0.391,0.304,0.009,0.004,0.359,0.382,0.327,0.265,0.131
0.578,0.008,0.192,0.037,0.715,0.570,0.945,0.896,0.293
0.324,0.129,0.027,0.002,0.279,0.181,0.811,0.602,0.086
0.016,0.051,0.097,0.076,0.008,0.004,0.356,0.309,0.006
0.439,0.082,0.849,0.603,0.428,0.329,0.790,0.830,0.338
0.154,0.132,0.159,0.068,0.128,0.077,0.725,0.798,0.091
0.756,0.041,0.670,0.810,0.849,0.916,0.900,0.950,0.524
0.754,0.022,0.260,0.802,0.879,0.932,0.750,0.718,0.537
0.062,0.078,0.073,0.107,0.054,0.015,0.385,0.347,0.029
0.257,0.048,0.192,0.188,0.253,0.348,0.823,0.860,0.135
0.876,0.026,0.078,0.898,0.972,0.982,0.717,0.755,0.699
0.637,0.023,0.325,0.304,0.679,0.527,0.806,0.887,0.331
0.157,0.038,0.366,0.147,0.155,0.155,0.899,0.905,0.071
0.965,0.335,0.032,0.007,0.973,0.984,0.553,0.628,0.897
0.934,0.006,0.067,0.021,0.972,0.969,0.929,0.841,0.685
0.223,0.026,0.783,0.513,0.242,0.075,0.832,0.860,0.119
0.109,0.947,0.013,0.001,0.053,0.073,0.240,0.588,0.041
0.536,0.079,0.013,0.014,0.542,0.643,0.494,0.336,0.255
0.089,0.030,0.213,0.046,0.062,0.020,0.884,0.881,0.025
0.089,0.030,0.213,0.046,0.062,0.020,0.884,0.881,0.025
0.089,0.030,0.213,0.046,0.062,0.020,0.884,0.881,0.025
0.968,0.006,0.037,0.049,0.993,0.996,0.902,0.859,0.860
0.462,0.092,0.709,0.551,0.434,0.343,0.774,0.825,0.279
0.462,0.092,0.709,0.551,0.434,0.343,0.774,0.825,0.279
0.459,0.031,0.332,0.501,0.537,0.651,0.758,0.721,0.246
0.004,0.104,0.035,0.010,0.002,0.004,0.846,0.927,0.003
0.766,0.006,0.605,0.764,0.873,0.920,0.897,0.862,0.585
0.700,0.136,0.315,0.458,0.756,0.823,0.685,0.729,0.564
0.417,0.021,0.693,0.961,0.482,0.629,0.766,0.712,0.255
0.202,0.040,0.934,0.902,0.229,0.111,0.887,0.891,0.135
0.171,0.012,0.575,0.131,0.175,0.133,0.952,0.899,0.090
0.004,0.890,0.097,0.071,0.001,0.003,0.272,0.802,0.004
0.931,0.009,0.381,0.866,0.981,0.987,0.847,0.891,0.806
0.610,0.033,0.257,0.234,0.712,0.588,0.791,0.656,0.377
0.260,0.223,0.014,0.009,0.220,0.247,0.327,0.309,0.085
0.743,0.069,0.762,0.516,0.802,0.758,0.821,0.883,0.626
0.161,0.026,0.716,0.582,0.103,0.218,0.900,0.933,0.074
0.004,0.045,0.124,0.086,0.002,0.001,0.620,0.768,0.002
0.009,0.038,0.207,0.284,0.005,0.002,0.628,0.792,0.005
0.952,0.031,0.485,0.745,0.982,0.983,0.699,0.815,0.842
0.007,0.043,0.268,0.201,0.004,0.002,0.772,0.837,0.005
0.007,0.043,0.268,0.201,0.004,0.002,0.772,0.837,0.005
0.025,0.060,0.685,0.477,0.017,0.005,0.788,0.874,0.014
0.850,0.033,0.826,0.914,0.925,0.941,0.729,0.818,0.769
0.501,0.057,0.775,0.936,0.503,0.586,0.714,0.683,0.357
0.500,0.106,0.215,0.407,0.531,0.578,0.640,0.692,0.227
0.677,0.012,0.717,0.698,0.774,0.831,0.883,0.884,0.533
0.476,0.231,0.099,0.037,0.452,0.275,0.545,0.478,0.246
0.308,0.077,0.885,0.798,0.298,0.284,0.814,0.819,0.261
0.715,0.008,0.566,0.883,0.861,0.840,0.718,0.760,0.475
0.477,0.047,0.844,0.575,0.495,0.436,0.862,0.819,0.416
0.127,0.292,0.004,0.000,0.095,0.077,0.729,0.512,0.030
0.129,0.019,0.878,0.814,0.107,0.110,0.823,0.843,0.086
0.401,0.002,0.263,0.579,0.641,0.536,0.914,0.889,0.282
0.091,0.019,0.803,0.877,0.079,0.068,0.812,0.792,0.075
0.435,0.148,0.380,0.607,0.424,0.456,0.563,0.579,0.265
0.884,0.009,0.177,0.989,0.976,0.984,0.747,0.795,0.641
0.906,0.008,0.565,0.879,0.962,0.976,0.816,0.840,0.781
0.325,0.006,0.671,0.880,0.323,0.514,0.792,0.854,0.211
0.019,0.902,0.039,0.006,0.012,0.013,0.283,0.858,0.012
0.421,0.063,0.190,0.232,0.448,0.297,0.673,0.701,0.261
0.161,0.018,0.121,0.354,0.144,0.057,0.712,0.806,0.066
0.425,0.009,0.976,0.967,0.554,0.511,0.923,0.945,0.436
0.714,0.076,0.060,0.024,0.784,0.657,0.749,0.592,0.362
0.053,0.010,0.913,0.568,0.041,0.081,0.960,0.971,0.041
0.394,0.075,0.826,0.583,0.369,0.327,0.858,0.863,0.255
0.902,0.009,0.703,0.497,0.956,0.943,0.913,0.928,0.842
0.851,0.031,0.360,0.931,0.944,0.963,0.712,0.715,0.639
0.910,0.011,0.079,0.659,0.974,0.991,0.717,0.599,0.728
0.474,0.151,0.355,0.442,0.503,0.677,0.744,0.696,0.288
0.616,0.107,0.232,0.875,0.738,0.889,0.724,0.699,0.396
0.020,0.272,0.004,0.001,0.013,0.025,0.535,0.865,0.014
0.623,0.022,0.178,0.118,0.652,0.742,0.801,0.806,0.230
0.360,0.057,0.424,0.102,0.339,0.249,0.885,0.817,0.174
0.385,0.020,0.037,0.061,0.517,0.482,0.858,0.760,0.132
0.952,0.004,0.672,0.889,0.988,0.989,0.859,0.893,0.904
0.586,0.022,0.784,0.794,0.711,0.646,0.788,0.820,0.529
0.890,0.005,0.161,0.310,0.933,0.986,0.785,0.671,0.761
0.071,0.022,0.725,0.541,0.057,0.022,0.857,0.908,0.032
0.718,0.011,0.250,0.600,0.858,0.902,0.834,0.908,0.413
0.432,0.103,0.420,0.199,0.417,0.280,0.742,0.710,0.249
0.967,0.002,0.021,0.040,0.993,0.997,0.939,0.881,0.717
0.969,0.003,0.029,0.761,0.996,0.999,0.921,0.901,0.862
